0,statusN_Rmean=4,statusS_Rmean=4,tempC_Rmean=4,windspeedMiles_Rmean=4,precipMM_Rmean=4,humidity_Rmean=4,visibility_Rmean=4,pressure_Rmean=4,cloudcover_Rmean=4,heatIndexC_Rmean=4,dewPointC_Rmean=4,windChillC_Rmean=4,windGustMiles_Rmean=4,feelsLikeC_Rmean=4
statusN,0.7830107950286105,0.09771985489706343,-0.3636127548031633,-0.0998821229586388,-0.006622460102875796,0.3099205071740779,0.07360488293152767,-0.031443043376218026,0.039552723507694384,-0.3725177627805613,-0.23396952307243365,-0.3636016447414547,-0.04670627511647047,-0.3725177627805613
statusS,0.10648118477051942,0.870895888297759,-0.10470713391996507,0.0037024741690958813,0.009523414487722587,0.0862009097261602,-0.03787517427434365,0.008655729666207444,-0.016858351857790155,-0.10527887224408834,-0.060615803928900036,-0.10448933914888096,0.021177515010275955,-0.10527887224408834
tempC,-0.3206352083503389,-0.09311500609296997,0.9573271190300472,-0.03634938921372543,-0.13754417092335486,-0.8958774348738101,0.22921620873022924,0.0242516372719867,-0.2418870094799376,0.9492175409702164,0.3447717297850931,0.9572759978529872,-0.1960489792745987,0.9492175409702164
windspeedMiles,-0.13469414249748307,0.007003269533615959,0.13420158420618716,0.9691210076050448,0.3909766423328671,-0.09737914880848572,-0.2831906553921099,-0.4922858205797028,0.3663558343826859,0.1355536600247472,0.013383982795234908,0.1350738459246514,0.9168057069254544,0.1355536600247472
precipMM,-0.06908846867389327,0.014849430836690512,0.04569354332976894,0.4202364393548224,0.9598065624645568,0.1338742608726613,-0.669096654824126,-0.4549507866105702,0.5867816495858937,0.11657193398809525,0.3823467518299221,0.04635058274889877,0.4782637152438341,0.11657193398809525
humidity,0.26241464119118835,0.07635729781618719,-0.8678675341319141,0.06718582910116895,0.31680182142075675,0.9667246390195084,-0.3600260673637321,-0.13264464956411626,0.30828828673653424,-0.8189295618729109,-0.052909650719841474,-0.8676535344594822,0.2260317483469997,-0.8189295618729109
visibility,0.06451632716821062,-0.0306200817491166,0.007995870739362069,-0.3456808427851543,-0.7770234603026095,-0.1655799893099036,0.8018863337925839,0.3383863193399773,-0.4654127706910674,-0.0583354804840159,-0.3190678999021693,0.0073242769395689316,-0.4046160818428807,-0.0583354804840159
pressure,-0.06251722670453219,0.0033904315993008127,-0.0029600236656337872,-0.4732197246368015,-0.4308752971935105,-0.0906122843726829,0.17743936825825685,0.9896358110033372,-0.4404612480065969,-0.06277063330036718,-0.2048458301019827,-0.003485246027696481,-0.4452165188290176,-0.06277063330036718
cloudcover,0.010242674613962078,-0.018001161332941086,-0.17901772486152606,0.3385407943310362,0.568330336535755,0.24525667728174635,-0.4055373455381882,-0.44634206739170657,0.9769210283168586,-0.11644679751913765,0.12482096162579492,-0.17830682685401775,0.3859360244277135,-0.11644679751913765
heatIndexC,-0.315175882385687,-0.0905637950056747,0.9223229518080258,-0.055513313834894135,-0.07817009081770858,-0.8229902733387962,0.16298182744358855,-0.0232394600427493,-0.19030274373068184,0.9570569191842014,0.4851696955049292,0.9223286747467332,-0.2116000551843736,0.9570569191842014
