0,statusN_Rmean=2,statusS_Rmean=2,tempC_Rmean=2,windspeedMiles_Rmean=2,precipMM_Rmean=2,humidity_Rmean=2,visibility_Rmean=2,pressure_Rmean=2,cloudcover_Rmean=2,heatIndexC_Rmean=2,dewPointC_Rmean=2,windChillC_Rmean=2,windGustMiles_Rmean=2,feelsLikeC_Rmean=2
statusN,0.9512388679986641,0.10778806946387252,-0.3627578093578112,-0.11412432450945995,-0.04921522632454434,0.30637768332142745,-0.01455687499926355,-0.04167335023512956,0.03066164338911532,-0.36806927555313657,-0.23310492751118925,-0.3628777103442838,-0.06718690964037588,-0.36806927555313657
statusS,0.11102967343052757,0.9713256122110931,-0.10419239910632663,-0.0010075524710515768,0.014447262152255615,0.08554424653118327,0.002324873967538363,0.006621745768703088,-0.016152475125557127,-0.1037057666545385,-0.061845455944101714,-0.10414233900403494,0.021922840194125943,-0.1037057666545385
tempC,-0.34895174525240463,-0.10053723090022597,0.993706449870969,0.034849146626439134,-0.1135439029952658,-0.9146467654015912,0.00487719487030861,0.010674838087439948,-0.2178042080705999,0.9730543023354608,0.34862171067900394,0.9936416429576088,-0.1270310962794051,0.9730543023354608
windspeedMiles,-0.1274856176295617,0.006023815926382746,0.08723023026353205,0.9911102374414044,0.4166893502339888,-0.05034934119429732,-0.3115716874634961,-0.4871696454185423,0.3603215206068526,0.07929131022012588,-0.012389309015093644,0.08808107577784158,0.9487757879721944,0.07929131022012588
precipMM,-0.049280917508072807,0.012790019249580306,-0.011599116358152231,0.4230469311214119,0.965267086304116,0.1939996675250881,-0.7411525859310234,-0.4491732404860325,0.5855796483993092,0.05214879943954465,0.35498705184969115,-0.010977788660677914,0.4924371107377513,0.05214879943954465
humidity,0.2904920566426287,0.08264979435773159,-0.9061215106549622,-0.0005531550351284242,0.27973620657400944,0.9958980167974733,-0.15427130505109013,-0.11612670179233373,0.28571357658875324,-0.8476970587921986,-0.05826476471986216,-0.9059743022545684,0.16311787595285646,-0.8476970587921986
visibility,0.052967850794696056,-0.02670761149069589,0.05438701405967248,-0.3481704079484911,-0.7730175395377339,-0.2164073236439437,0.85682871514939,0.3350685290244492,-0.4621652904347896,-0.007164198850080095,-0.3025013094164541,0.05376477197479874,-0.4157291714639973,-0.007164198850080095
pressure,-0.053071019494112616,0.00488572627350955,9.138562935426793e-05,-0.4785974491966967,-0.3732881713132989,-0.1020821362126295,0.4206140497856383,0.9971952791188936,-0.4430932500336798,-0.0511391018144947,-0.20743015653927588,-0.0004042361296390882,-0.4545418421888941,-0.0511391018144947
cloudcover,0.02035042507408776,-0.016079195372162833,-0.19572512942254186,0.3529344404828369,0.5717406607590573,0.26385828309900416,-0.4140703979049358,-0.4448039673728658,0.9969524467770359,-0.14210450855071108,0.10982239016521246,-0.1950186434729141,0.4065607079165049,-0.14210450855071108
heatIndexC,-0.3486137617216181,-0.0990769960309243,0.9643718093404648,0.01964220643735729,-0.0517898061919031,-0.8492682706844121,-0.03202207751290853,-0.03936141561155096,-0.164745504243706,0.9943468069542294,0.4968327083690944,0.9644094124837224,-0.13864233374176535,0.9943468069542294
dewPointC,-0.22220688888144632,-0.0589102911835686,0.3365691583931656,-0.042476193907761424,0.3016360673582755,-0.053622047081499855,-0.22291801242805886,-0.20957943927874967,0.0985737815893064,0.4867181774733712,0.9818253783286088,0.3368624202535904,-0.07750176183993718,0.4867181774733712
windChillC,-0.3491527010505819,-0.1005485262632787,0.993617180180426,0.035678926670302445,-0.11297785534154538,-0.914549004626163,0.0043014830909325645,0.010175575088597049,-0.21710609207906828,0.9731240724420992,0.3488671681225598,0.9937057431626448,-0.12623620868075225,0.9731240724420992
windGustMiles,-0.0769131435159797,0.021130778424394498,-0.0500186451689973,0.964718671474365,0.5062170951980403,0.0875820674509125,-0.3733237815269033,-0.4730306201044478,0.4197992708339989,-0.05860185826937193,-0.05425317712638957,-0.04922514241676312,0.9943233113619059,-0.05860185826937193
feelsLikeC,-0.3486137617216181,-0.0990769960309243,0.9643718093404648,0.01964220643735729,-0.0517898061919031,-0.8492682706844121,-0.03202207751290853,-0.03936141561155096,-0.164745504243706,0.9943468069542294,0.4968327083690944,0.9644094124837224,-0.13864233374176535,0.9943468069542294
statusN_Rmean=2,1.0,0.1105770946232812,-0.3581897637258574,-0.11962506100198625,-0.0591137353440937,0.300788407798371,-0.008633029994032933,-0.04724078814950562,0.025837139461204323,-0.3602022816805759,-0.2291225235188868,-0.35837868093009034,-0.07378624678838287,-0.3602022816805759
statusS_Rmean=2,0.1105770946232812,1.0,-0.10241662588748598,-0.00012150287966198667,0.016189123959947083,0.0847319333620018,0.0010383182606077696,0.006428028774484442,-0.015387492965746647,-0.1012988566073128,-0.06086831533174705,-0.10242167242104323,0.022917116759751367,-0.1012988566073128
statusN_Rmean=3,0.9516380288966017,0.11049997755111687,-0.3500602941520257,-0.12470746192570514,-0.06918432676654834,0.2918495977260793,-0.002822254554352514,-0.0527546381640209,0.02051878157276537,-0.3492613618395393,-0.22361028143608305,-0.35026552009836703,-0.08047474126728547,-0.3492613618395393
statusS_Rmean=3,0.10902651773209587,0.9706459353283547,-0.10014472455931464,0.00018278526732835426,0.018900701967467855,0.08291904400008629,-0.0017597751182462343,0.005173158671229993,-0.016139790848262506,-0.09845017799337552,-0.058600152586601985,-0.10015633169801902,0.023555231789981902,-0.09845017799337552
