statusN,statusS,statusN_Rmean=2,statusS_Rmean=2,statusN_t-96,statusS_t-96,statusN_Rmean=2_t-96,statusS_Rmean=2_t-96
0.4385671254315045,0.9194120005016608,0.3282232284776315,0.91928048864499,0.9082636044418612,0.9318411094041722,0.0,0.0
0.5555690573673829,0.9195020228617036,0.3948997893240236,0.9193678576232168,0.9095054163050572,0.9316018052549552,0.4541318022209306,0.4659205547020861
0.6833380438762702,0.9195936848707252,0.4970680913994442,0.9194570116816828,0.9108184855273216,0.9313305402814728,0.9088845103734592,0.9317214573295638
0.7953587901006548,0.9196868895745514,0.619453550621827,0.9195478538662148,0.9122041498817872,0.931030793202378,0.9101619509161896,0.931466172768214
0.8740740112030849,0.919781540019008,0.739348416988463,0.9196402872226388,0.9136637471415894,0.9307060427363256,0.9115113177045546,0.9311806667419256
0.9211429141940788,0.9198775392499224,0.8347164006518704,0.9197342147967804,0.9151986150798602,0.9303597676019688,0.9129339485116884,0.930868417969352
0.9425961390829002,0.91997479031312,0.8976084626985823,0.9198295396344658,0.9168100914697356,0.929995446517962,0.9144311811107246,0.9305329051691472
0.9444643258788094,0.9200731962544276,0.93186952663849,0.9199261647815218,0.9184995140843476,0.9296165582029584,0.9160043532747978,0.9301776070599654
0.9327781145910704,0.9201726601196706,0.9435302324808552,0.9200239932837744,0.9202682206968316,0.929226581375612,0.9176548027770416,0.9298060023604604
0.9135681452289456,0.9202730849546756,0.9386212202349402,0.9201229281870495,0.9221175490803204,0.928828994754576,0.9193838673905896,0.9294215697892854
0.8928650578016961,0.9203743738052692,0.9231731299100084,0.9202228725371736,0.9240488370079486,0.9284272770585053,0.921192884888576,0.9290277880650942
0.876699492318586,0.920476429717276,0.9032166015153212,0.9203237293799732,0.9260634222528504,0.928024907006053,0.9230831930441346,0.9286281359065408
0.8711020887888772,0.9205791557365242,0.8847822750601415,0.9204254017612732,0.9281626425881592,0.9276253633158734,0.9250561296303996,0.9282260920322792
0.8800281870671314,0.9206824549088388,0.873900790553732,0.9205277927269008,0.9303478357870092,0.9272321247066198,0.927113032420505,0.9278251351609634
0.8991319263891061,0.9207862302800464,0.8755651379280046,0.9206308053226819,0.932420004588968,0.9268480739514751,0.9292552391875843,0.9274287440112468
0.921992145835858,0.9208903848959722,0.8895800567281191,0.9207343425944432,0.9333788115993408,0.9264737100417364,0.9313839201879888,0.9270400993290476
0.9421876844884436,0.9209948218024436,0.9105620361124824,0.92083830758801,0.9320235843898668,0.9261089360232304,0.9328994080941544,0.926660891996606
0.9532973814279196,0.9210994440452868,0.9320899151621512,0.9209426033492089,0.9271536505322842,0.9257536549417829,0.9327011979946036,0.9262913230324838
0.9489000757353422,0.9212041546703268,0.947742532958182,0.9210471329238659,0.9175683375983328,0.9254077698432196,0.9295886174610756,0.9259312954825071
0.9225746064917691,0.9213088567233908,0.9510987285816312,0.9211517993578076,0.9020669731597508,0.9250711837733674,0.9223609940653084,0.9255807123925016
