0,tempC,tempC_Rmean=2,tempC_Rmean=3,tempC_Rmean=4,tempC_Rmean=8,tempC_Rmean=12,tempC_Rmean=24,tempC_Rmean=32,tempC_Rmean=48,tempC_Rmean=96,Expanding Mean 2 tempC,Expanding Mean 3 tempC,Expanding Mean 4 tempC,Expanding Mean 8 tempC,Expanding Mean 12 tempC,Expanding Mean 16 tempC,Expanding Mean 24 tempC,Expanding Mean 48 tempC,Expanding Mean 96 tempC
statusN,-0.35745347463004995,-0.3627578093578112,-0.3675668368596594,-0.3636127548031633,-0.3206210577166925,-0.2361496409435909,0.13175562834375093,0.3171217619751378,0.17705818365092615,0.050812996975505065,-0.3577333858625663,-0.3597500346208921,-0.3578665375553243,-0.3609118620741783,-0.3633477372104011,-0.3542667945750457,-0.3736169720709461,-0.3279686472652118,-0.2952282171004158
statusS,-0.10275367220513253,-0.10419239910632663,-0.10479699250300836,-0.10470713391996507,-0.09604103074297723,-0.08052325814532993,-0.008057196310014033,0.029040594348144964,0.015024021337919491,0.0032833098876507197,-0.10283878972812636,-0.10326967595956006,-0.10298369006713667,-0.10359147583015044,-0.1038924331209628,-0.10187557103893947,-0.10707268476134013,-0.0989451389688945,-0.10275476390984883
tempC,1.0,0.993706449870969,0.9787494883436648,0.9573271190300472,0.8044425598345131,0.5693263910123945,-0.2304798404204952,-0.4627770496666047,0.16605240469882818,0.3182135913137429,0.999915445596612,0.9986308241323166,0.9987027328782478,0.9906760454099603,0.9787029978867532,0.9670158967804696,0.9299410586520028,0.7168364710363003,0.6667777002441986
windspeedMiles,0.059062697981784575,0.08723023026353205,0.11105593478768136,0.13420158420618716,0.19213282147793587,0.1895339224120938,-0.15029138584658133,-0.4583958511556626,-0.5603751411470292,-0.3044630210338631,0.06188714279525113,0.06868694879429578,0.0713007640399881,0.08954507063215887,0.10815961074197823,0.1112123763509746,0.13114738962010855,0.1928931917632355,0.09988627647671584
precipMM,-0.04328362636093622,-0.011599116358152231,0.015069546227358304,0.04569354332976894,0.14334779101741654,0.1948851341916034,0.03021523639655298,-0.2200200054658068,-0.4215791327808572,-0.103265614060071,-0.04041599382135229,-0.03237607099975194,-0.030732609173143795,-0.00824919910804534,0.013546782895993686,0.02306931796578672,0.05160571996835405,0.17024924492647092,0.11783994444990364
humidity,-0.9142340315330496,-0.9061215106549622,-0.8891278175107566,-0.8678675341319141,-0.7237465886528291,-0.5079901360397823,0.2002559715048816,0.3738501328205256,-0.25236337395974445,-0.3618987398729576,-0.9137309294586649,-0.9122093499605411,-0.911252657931218,-0.902937361223292,-0.8905622517287405,-0.8793146334716891,-0.8459633143078813,-0.6388938679773909,-0.6037202177847238
visibility,0.0795104428059338,0.05438701405967248,0.03242890496472277,0.007995870739362069,-0.07240203442499342,-0.12121181900901085,-0.0041144518010412644,0.1978406022321406,0.3657922104639743,0.12394361343176775,0.07722129533915699,0.07101652856123879,0.0694718774366585,0.051637764512422274,0.034142472126366265,0.026888149509441284,0.0023653640604868608,-0.09991638398225317,-0.048614395243484536
pressure,0.004755502694657961,9.138562935426793e-05,0.003080560890696082,-0.0029600236656337872,-0.010526134599518946,-0.0005464120817166675,0.13532275343576106,0.2285767264555334,0.1908292963072737,0.0569404048081381,0.004034176828064446,0.0030963688229524106,0.00092758998307629,0.00014000532575214486,-0.00287348775772342,-0.0011994400226236677,0.004137295448729175,-0.015088510731875091,0.02930312240310905
cloudcover,-0.2062555813627119,-0.19572512942254186,-0.1896303537957328,-0.17901772486152606,-0.14666539747904048,-0.13172382979273256,-0.2139460077914428,-0.30723506082125485,-0.3586710069157111,-0.29550880695904075,-0.2050798614261061,-0.2023438094067432,-0.2007525530387642,-0.1952984176709557,-0.1854337351485973,-0.18850207676554376,-0.18288455688030986,-0.1237319521105844,-0.18934961502494788
heatIndexC,0.973317056673202,0.9643718093404648,0.9473860352611841,0.9223229518080258,0.7526879861408362,0.5019691414171442,-0.3156701760399497,-0.5317286790575874,0.15778280708541054,0.2599194579211879,0.97284678149718,0.9712618686559268,0.9706948627810774,0.9599797684627506,0.94610514636375,0.932018471077038,0.8854314473500386,0.6581828684764593,0.5918856091835724
dewPointC,0.3445659749266368,0.3365691583931656,0.3278621864406497,0.31110931813928405,0.2115312846282224,0.08545326504330837,-0.2668545664756963,-0.3604058749892273,-0.05736896446614965,-0.07065610447492747,0.3440470054816701,0.3427012703781514,0.34280143788023937,0.33354052344464585,0.32491416116174554,0.3169233574652596,0.28002384699370925,0.1718708102480822,0.12054444435409818
windChillC,0.9999025185248476,0.993617180180426,0.9787100753072976,0.9573126917537677,0.8044062743824814,0.5691232881457317,-0.23108750990013044,-0.4634815263865434,0.16561605429210235,0.31809066402716685,0.9998173453156899,0.9985380545977236,0.9986040369518489,0.99058407980319,0.978658842956424,0.9669063674906412,0.9298875243624996,0.7167169422139502,0.666578552092417
windGustMiles,-0.0854916248375475,-0.0500186451689973,-0.017795574971889043,0.01523921310952856,0.1221430614860486,0.17645358435457853,-0.03766929321587285,-0.35067901720908595,-0.6228189490855968,-0.3227822178357816,-0.08213481247766075,-0.07354563489973809,-0.0709770472554537,-0.04631545228377002,-0.021538143705175268,-0.013668849200648285,0.024761310009217816,0.1467769990204293,0.06607519467013538
