cloudcover,cloudcover_Rmean=2,cloudcover_Rmean=3,cloudcover_Rmean=4,cloudcover_Rmean=8,cloudcover_Rmean=12,cloudcover_Rmean=24,cloudcover_Rmean=32,cloudcover_Rmean=48,cloudcover_Rmean=96,Expanding Mean 2 cloudcover,Expanding Mean 3 cloudcover,Expanding Mean 4 cloudcover,Expanding Mean 8 cloudcover,Expanding Mean 12 cloudcover,Expanding Mean 16 cloudcover,Expanding Mean 24 cloudcover,Expanding Mean 48 cloudcover,Expanding Mean 96 cloudcover
1.0,0.9969524467770361,0.9890498108622132,0.9769210283168586,0.898069184673704,0.7959747608946421,0.567073171421443,0.5198606915456739,0.5449562623558685,0.44794805264490717,0.9998452205391716,0.9994827873444491,0.9989249718133892,0.9951996518436018,0.9873765721743045,0.9801280041323022,0.9617427656554937,0.911655020511084,0.8237792091676566
0.9969524467770361,1.0,0.9971130652041098,0.9892753989169315,0.9219646562921097,0.8235763184000222,0.5813600143227958,0.5251664754688178,0.5434392530513537,0.45203404664547653,0.9976649188392858,0.9982339535291208,0.9985815412226808,0.9980307630576795,0.994223711961485,0.9884705157711834,0.9741744074395541,0.9267127991367211,0.838117911053742
0.9890498108622132,0.9971130652041098,1.0,0.997223197618986,0.943709074946881,0.8508044538660637,0.5971187190605687,0.5313785109833187,0.5419261034971443,0.4556140895279397,0.9905060561269861,0.9918695114230074,0.9930209704688274,0.9958063915482571,0.9958165730340152,0.9925622567285508,0.9822184535599975,0.9388215242588819,0.8510259864261098
0.9769210283168586,0.9892753989169315,0.997223197618986,1.0,0.9627781951251341,0.877312182197833,0.6145663939343925,0.538843883105946,0.5408295426132668,0.4595827848700098,0.9790393053307278,0.9810951208375346,0.9829357786264205,0.9889220096071616,0.9925216389500598,0.992342192532797,0.9860221780709,0.9479221021654036,0.8628012789780711
0.898069184673704,0.9219646562921097,0.943709074946881,0.9627781951251341,1.0,0.9655267964086106,0.6994740670329632,0.5820144260874744,0.5399252437764622,0.4749936748541853,0.9019113810476272,0.9058301955866181,0.9095273414017415,0.9247616267282321,0.9374642370984414,0.9514000307960305,0.9620001924484457,0.9553303255220712,0.894840573281506
0.7959747608946421,0.8235763184000222,0.8508044538660637,0.877312182197833,0.9655267964086106,1.0,0.8014681694728933,0.6486754893484351,0.5482246587052113,0.49019206978234403,0.8002978180468167,0.804775191197023,0.8090491937074014,0.827988213450505,0.8438191605992508,0.8665657152802136,0.8920014984092173,0.9230519232755999,0.903809722059378
0.567073171421443,0.5813600143227958,0.5971187190605687,0.6145663939343925,0.6994740670329632,0.8014681694728933,1.0,0.9193009897881467,0.6661159427116652,0.5338281165673273,0.5691182793210829,0.5712714369879727,0.5733072351080795,0.5848224347265741,0.5923193244190809,0.6121721425657383,0.64038367961982,0.7276134188951681,0.8417931808362246
0.5198606915456739,0.5251664754688178,0.5313785109833187,0.538843883105946,0.5820144260874744,0.6486754893484351,0.9193009897881467,1.0,0.8155970223123407,0.5661466362699625,0.5204911188193382,0.5211483877521349,0.521732706267533,0.5268255476830364,0.5281080926829932,0.539479852077391,0.558025104173002,0.6267074702242869,0.779512288916338
0.5449562623558685,0.5434392530513537,0.5419261034971443,0.5408295426132668,0.5399252437764622,0.5482246587052113,0.6661159427116652,0.8155970223123407,1.0,0.6680746131340852,0.5445187558508227,0.544051152698406,0.5435880840703133,0.5434066365864103,0.5398423124041808,0.5437291156415356,0.547455513977898,0.5761733239042987,0.6953469749814791
0.44794805264490717,0.45203404664547653,0.4556140895279397,0.4595827848700098,0.4749936748541853,0.49019206978234403,0.5338281165673273,0.5661466362699625,0.6680746131340852,1.0,0.4484246759200101,0.44891380715077744,0.44931107211968274,0.4524119212166048,0.4530128891371779,0.4586100765797048,0.46771494719618795,0.485743605063427,0.5373526462490159
0.9998452205391716,0.9976649188392858,0.9905060561269861,0.9790393053307278,0.9019113810476272,0.8002978180468167,0.5691182793210829,0.5204911188193382,0.5445187558508227,0.4484246759200101,1.0,0.999635786199732,0.9993769118013416,0.9961372648912806,0.9890092094457014,0.9818608817909329,0.9641796312931684,0.9143420429949785,0.8261995582551995
0.9994827873444491,0.9982339535291208,0.9918695114230074,0.9810951208375346,0.9058301955866181,0.804775191197023,0.5712714369879727,0.5211483877521349,0.544051152698406,0.44891380715077744,0.999635786199732,1.0,0.9993424527200536,0.9966646276987252,0.9906153860270797,0.9833515424414343,0.9666312584344157,0.9170761426479591,0.8286383202629587
0.9989249718133892,0.9985815412226808,0.9930209704688274,0.9829357786264205,0.9095273414017415,0.8090491937074014,0.5733072351080795,0.521732706267533,0.5435880840703133,0.44931107211968274,0.9993769118013416,0.9993424527200536,1.0,0.9977596878771067,0.9920527818673456,0.9851130575656315,0.9688920412246441,0.9196163763163279,0.8309187888987342
0.9951996518436018,0.9980307630576795,0.9958063915482571,0.9889220096071616,0.9247616267282321,0.827988213450505,0.5848224347265741,0.5268255476830364,0.5434066365864103,0.4524119212166048,0.9961372648912806,0.9966646276987252,0.9977596878771067,1.0,0.9946488744207258,0.9910937752355929,0.9779541747744616,0.9303194013270085,0.8415040353826667
0.9873765721743045,0.994223711961485,0.9958165730340152,0.9925216389500598,0.9374642370984414,0.8438191605992508,0.5923193244190809,0.5281080926829932,0.5398423124041808,0.4530128891371779,0.9890092094457014,0.9906153860270797,0.9920527818673456,0.9946488744207258,1.0,0.9910337109002589,0.9842179748832034,0.9379256300206513,0.8481484980934613
