precipMM,precipMM_Rmean=2,precipMM_Rmean=3,precipMM_Rmean=4,precipMM_Rmean=8,precipMM_Rmean=12,precipMM_Rmean=24,precipMM_Rmean=32,precipMM_Rmean=48,precipMM_Rmean=96,Expanding Mean 2 precipMM,Expanding Mean 3 precipMM,Expanding Mean 4 precipMM,Expanding Mean 8 precipMM,Expanding Mean 12 precipMM,Expanding Mean 16 precipMM,Expanding Mean 24 precipMM,Expanding Mean 48 precipMM,Expanding Mean 96 precipMM
1.0,0.965267086304116,0.9540154988742249,0.9598065624645569,0.8651078931230041,0.73444065869371,0.4561638180554508,0.3693875880849798,0.4783812909500473,0.4297200608830961,0.9998930380518977,0.9977744747713508,0.9992878382521492,0.991694634766816,0.985605895913666,0.9726280128457401,0.9483805685588823,0.9036858799185464,0.8473906960527746
0.965267086304116,1.0,0.9738157830009772,0.9486333509602078,0.860050158481502,0.7487301880755133,0.42019873374760053,0.3184955567603167,0.41833066426157883,0.39022436433582003,0.9658642194564961,0.9682444944326571,0.9664623081389467,0.9657042057738645,0.9597785214520724,0.9513661586017516,0.9283826061666514,0.8764868821932036,0.8164149401687666
0.9540154988742249,0.9738157830009772,1.0,0.9660745920007205,0.8987694178678877,0.7916264706624488,0.4889575619500668,0.3783225751419917,0.45970462339175866,0.44825942134857705,0.9549061079190142,0.9584855545382165,0.9567661098511521,0.964106434518789,0.9596807805224074,0.9595077927817943,0.9412698754187149,0.8988710115673287,0.845703239825803
0.9598065624645569,0.9486333509602078,0.9660745920007205,1.0,0.9454416796027075,0.8305368895984809,0.529541794485432,0.4022639260957588,0.4574734085859428,0.43875481700379565,0.961061642380394,0.9657504434841985,0.9639143341459656,0.9752664716590487,0.9753370536669367,0.9789336403713664,0.9667223101612126,0.9303576243777637,0.8817993324263393
0.8651078931230041,0.860050158481502,0.8987694178678877,0.9454416796027075,1.0,0.9390385740447923,0.646724588871583,0.47697885949900654,0.4469786756976734,0.45888035312982717,0.8671321889520741,0.874478326034183,0.8719070910926557,0.8937491241918198,0.9032660381651797,0.924940331947449,0.9373934412206522,0.9270119994987635,0.896191416763523
0.73444065869371,0.7487301880755133,0.7916264706624488,0.8305368895984809,0.9390385740447923,1.0,0.7474630127920158,0.5451234248175403,0.4237222380024992,0.4447830706174994,0.736921600297813,0.7445668357932944,0.7428412631120874,0.7679254714220356,0.7800768372420791,0.8104451200899809,0.8399503859653183,0.8611651225322635,0.8596133851413316
0.4561638180554508,0.42019873374760053,0.4889575619500668,0.529541794485432,0.646724588871583,0.7474630127920158,1.0,0.9037740671687651,0.6119814707523598,0.5330698607621086,0.45797659574621197,0.46253489228843564,0.4622449186592677,0.4816988072319328,0.48835435130811206,0.5203847311245466,0.550894243902285,0.6405593170557473,0.7162384162366924
0.3693875880849798,0.3184955567603167,0.3783225751419917,0.4022639260957588,0.47697885949900654,0.5451234248175403,0.9037740671687651,1.0,0.7760236456347198,0.5603715289100375,0.37005581932726994,0.3712225731856991,0.3716859922053743,0.38176823502076745,0.3813936880814057,0.4060706007978373,0.4211211260610204,0.51936368833236,0.6126522635817352
0.4783812909500473,0.41833066426157883,0.45970462339175866,0.4574734085859428,0.4469786756976734,0.4237222380024992,0.6119814707523598,0.7760236456347198,1.0,0.6786812204746043,0.4777392836788092,0.4755931529800377,0.476234643721696,0.47447105469879886,0.4656835822594633,0.474213273810227,0.46586508425168305,0.5313973815951326,0.5781275719332878
0.4297200608830961,0.39022436433582003,0.44825942134857705,0.43875481700379565,0.45888035312982717,0.4447830706174994,0.5330698607621086,0.5603715289100375,0.6786812204746043,1.0,0.4300908346884573,0.43095975129866776,0.4307367083130193,0.43647975298977426,0.4350368339602285,0.4436572919863277,0.4521489643154094,0.4780346760703649,0.49327288110965706
0.9998930380518977,0.9658642194564961,0.9549061079190142,0.961061642380394,0.8671321889520741,0.736921600297813,0.45797659574621197,0.37005581932726994,0.4777392836788092,0.4300908346884573,1.0,0.9979243194659516,0.9995624279751658,0.9922222629125385,0.9863664846108575,0.9734705182598029,0.9495339320977622,0.9048337080079198,0.8487463668574887
0.9977744747713508,0.9682444944326571,0.9584855545382165,0.9657504434841985,0.874478326034183,0.7445668357932944,0.46253489228843564,0.3712225731856991,0.4755931529800377,0.43095975129866776,0.9979243194659516,1.0,0.9978976026348136,0.9927802444498045,0.9898502844340027,0.9762075550179309,0.9542880260424709,0.9091217335747441,0.8533194989316211
0.9992878382521492,0.9664623081389467,0.9567661098511521,0.9639143341459656,0.8719070910926557,0.7428412631120874,0.4622449186592677,0.3716859922053743,0.476234643721696,0.4307367083130193,0.9995624279751658,0.9978976026348136,1.0,0.9932224151952604,0.9879582020487168,0.9752491633054566,0.9520986180471361,0.9073684763460075,0.8518277698842761
0.991694634766816,0.9657042057738645,0.964106434518789,0.9752664716590487,0.8937491241918198,0.7679254714220356,0.4816988072319328,0.38176823502076745,0.47447105469879886,0.43647975298977426,0.9922222629125385,0.9927802444498045,0.9932224151952604,1.0,0.988488909169883,0.9856820262103265,0.9657331450437178,0.9212404457228377,0.8671785658231708
0.985605895913666,0.9597785214520724,0.9596807805224074,0.9753370536669367,0.9032660381651797,0.7800768372420791,0.48835435130811206,0.3813936880814057,0.4656835822594633,0.4350368339602285,0.9863664846108575,0.9898502844340027,0.9879582020487168,0.988488909169883,1.0,0.9823476181550892,0.9706928706341281,0.924964465860827,0.8715205968362293
0.9726280128457401,0.9513661586017516,0.9595077927817943,0.9789336403713664,0.924940331947449,0.8104451200899809,0.5203847311245466,0.4060706007978373,0.474213273810227,0.4436572919863277,0.9734705182598029,0.9762075550179309,0.9752491633054566,0.9856820262103265,0.9823476181550892,1.0,0.9755390632127234,0.945130673585718,0.8940251986749478
0.9483805685588823,0.9283826061666514,0.9412698754187149,0.9667223101612126,0.9373934412206522,0.8399503859653183,0.550894243902285,0.4211211260610204,0.46586508425168305,0.4521489643154094,0.9495339320977622,0.9542880260424709,0.9520986180471361,0.9657331450437178,0.9706928706341281,0.9755390632127234,1.0,0.9584110613271131,0.9094686093093246
0.9036858799185464,0.8764868821932036,0.8988710115673287,0.9303576243777637,0.9270119994987635,0.8611651225322635,0.6405593170557473,0.51936368833236,0.5313973815951326,0.4780346760703649,0.9048337080079198,0.9091217335747441,0.9073684763460075,0.9212404457228377,0.924964465860827,0.945130673585718,0.9584110613271131,1.0,0.9622717641664943
0.8473906960527746,0.8164149401687666,0.845703239825803,0.8817993324263393,0.896191416763523,0.8596133851413316,0.7162384162366924,0.6126522635817352,0.5781275719332878,0.49327288110965706,0.8487463668574887,0.8533194989316211,0.8518277698842761,0.8671785658231708,0.8715205968362293,0.8940251986749478,0.9094686093093246,0.9622717641664943,1.0
