0,statusN_Rmean=48,statusS_Rmean=48,tempC_Rmean=48,windspeedMiles_Rmean=48,precipMM_Rmean=48,humidity_Rmean=48,visibility_Rmean=48,pressure_Rmean=48,cloudcover_Rmean=48,heatIndexC_Rmean=48,dewPointC_Rmean=48,windChillC_Rmean=48,windGustMiles_Rmean=48,feelsLikeC_Rmean=48,Expanding Mean 48 statusN,Expanding Mean 48 statusS,Expanding Mean 48 tempC,Expanding Mean 48 windspeedMiles,Expanding Mean 48 precipMM,Expanding Mean 48 humidity,Expanding Mean 48 visibility,Expanding Mean 48 pressure,Expanding Mean 48 cloudcover,Expanding Mean 48 heatIndexC,Expanding Mean 48 dewPointC,Expanding Mean 48 windChillC
statusN,0.034084095444953354,0.06696229074213979,0.17705818365092615,-0.04257566302133357,-0.015199862550534153,-0.16516445083892928,-0.004666578673578108,-0.08364135745174661,-0.017468274456771668,0.20075824902691675,0.0951892114508266,0.1772459379990146,-0.09322532330015892,0.20075824902691675,0.706457023841055,0.10813964414504257,-0.3279686472652118,-0.10232510109328924,-0.017519954464191616,0.29447970121865,0.05192544030656245,-0.01836809730872184,0.04964664537325512,-0.3370786508603957,-0.17461631967353908,-0.3280247351317291
statusS,-0.0655408405804662,-0.03889634324134749,0.015024021337919491,0.0031000769484599323,0.016281114647908396,-0.03664836563573412,-0.007822049821330635,-0.012724734224194262,0.07525830088142497,0.01672576463697975,-0.018240656421247718,0.014905432123480866,4.5329067678069535e-05,0.01672576463697975,0.07212709009161472,0.6737139485348866,-0.0989451389688945,0.006008178865122987,0.005756101150539029,0.09150600547715958,-0.012579278941022676,0.013276669909342651,-0.01900244330070153,-0.10410994107217217,-0.04747091968920932,-0.09879280194897357
tempC,-0.11127193206552216,-0.07791837990185926,0.16605240469882818,0.018408574087103426,0.009256262748190677,-0.15765654324114314,-0.007681398945887489,0.09919743395001776,-0.21300282713489155,0.08409102483243829,-0.1346231905779786,0.165901710003136,0.079379638849931,0.08409102483243829,-0.26422323267954223,-0.10411132637489458,0.7168364710363003,-0.10578156557844087,-0.12484149413660528,-0.6960713929881909,0.12946948321913854,0.045979269174166094,-0.2493575584289879,0.7053629565669055,0.17722485126178245,0.7165817759672216
windspeedMiles,0.18522685211148546,0.06125386457994409,-0.5603751411470292,0.4796799438605188,0.24749959901974114,0.5296790085308897,-0.2032889722280445,-0.40032587815116266,0.3158355055713519,-0.5592376727722519,-0.12136613597366645,-0.5601314525974781,0.5260055490555243,-0.5592376727722519,-0.18685252668891567,0.049411954796872624,0.1928931917632355,0.8937050280284072,0.3407054230843737,-0.153394172002021,-0.2845194262555503,-0.5012540591137876,0.35461706494648026,0.197339745082954,0.047359272184303074,0.1937692949916422
precipMM,0.18977675009466172,0.005171413841678415,-0.4215791327808572,0.11454228837045875,0.4783812909500473,0.5428334876720068,-0.3944559644964227,-0.3407607479399644,0.3755806522423049,-0.3724914829085909,0.2005151976237852,-0.4216459778363566,0.18704897158818887,-0.3724914829085909,-0.1384129092439863,0.013196465050753496,0.17024924492647092,0.4063975280621313,0.9036858799185464,-0.003765720792771043,-0.7669640894651343,-0.4718713677733916,0.5912363340921728,0.2493302245748417,0.4614024082299616,0.17112729382159034
humidity,0.13284105561547466,0.06816948025335902,-0.25236337395974445,0.010628792877609886,0.14094659095891798,0.3021573132933138,-0.11721257720414835,-0.18786216409208006,0.3031106671082205,-0.14634815265387371,0.2370695409689667,-0.2523160318016638,-0.02790101962013724,-0.14634815265387371,0.20661910495229904,0.08652367812339498,-0.6388938679773909,0.13320828491359185,0.3113766138970015,0.7430245340377597,-0.30675175772115065,-0.15710971085924855,0.3241598126624594,-0.5843463925251025,0.10323836390578936,-0.6383031260968379
visibility,-0.15628180090162144,-0.03014200494346625,0.3657922104639743,-0.08757158972310812,-0.4024381139956121,-0.4631211019115895,0.3400865581625067,0.2376536124460461,-0.3547324774762006,0.3234500764038984,-0.15444719502587131,0.3658258935783412,-0.15048545854762965,0.3234500764038984,0.1175449559520748,-0.025832215622049768,-0.09991638398225317,-0.3349113983020422,-0.7276939170104565,-0.04619515095337419,0.8214983094374044,0.34753421032345183,-0.4717216221160756,-0.16990702713410008,-0.3788681131760914,-0.10079989855634792
pressure,-0.12364456438566387,-0.0007427043515048167,0.1908292963072737,-0.3894581937582096,-0.4437109852367906,-0.2663922991050384,0.3351591960758702,0.8834999685956999,-0.4149824815731348,0.14956138078645445,-0.16182833418724366,0.19076312876048127,-0.3977804420617805,0.14956138078645445,-0.046444326265049886,-0.00047548973875078293,-0.015088510731875091,-0.4465029281956539,-0.4395573026263929,-0.08709576559424588,0.3424230475591267,0.9740188135785924,-0.4370911193752097,-0.05734593739005154,-0.21185723345386048,-0.01579324472319094
cloudcover,0.06781621498000605,-0.0020229480361886373,-0.3586710069157111,0.2785187467478554,0.4503352760788663,0.4263695647554235,-0.4001566545101541,-0.4133484966767753,0.5449562623558685,-0.3040060674877805,0.16176607721706682,-0.3583657234943973,0.3270831225076619,-0.3040060674877805,0.0003871342157630337,-0.027854467317750625,-0.1237319521105844,0.31842256372582456,0.5517958845867221,0.20299953291995365,-0.4516250715391574,-0.4565046616651064,0.911655020511084,-0.06799457365898708,0.17978610003584988,-0.12295423824306174
heatIndexC,-0.13530378259712253,-0.07367267339585742,0.15778280708541054,0.0657350365217145,0.10850872170728164,-0.11719975734351605,-0.1004361955477857,0.04079555645469651,-0.12901403833622313,0.0971920724038254,-0.049908645226631035,0.1576408089066114,0.13144025207002905,0.0971920724038254,-0.2445990400219352,-0.10041757497298358,0.6581828684764593,-0.11928836272530915,-0.05207804559142702,-0.601529944069986,0.06318092541429803,0.004486425193719432,-0.19596027847553585,0.6785879750624748,0.2976538811029552,0.658048746781901
