0,statusN_Rmean=12,statusS_Rmean=12,tempC_Rmean=12,windspeedMiles_Rmean=12,precipMM_Rmean=12,humidity_Rmean=12,visibility_Rmean=12,pressure_Rmean=12,cloudcover_Rmean=12,heatIndexC_Rmean=12,dewPointC_Rmean=12,windChillC_Rmean=12,windGustMiles_Rmean=12,feelsLikeC_Rmean=12,Expanding Mean 12 statusN,Expanding Mean 12 statusS,Expanding Mean 12 tempC,Expanding Mean 12 windspeedMiles,Expanding Mean 12 precipMM,Expanding Mean 12 humidity,Expanding Mean 12 visibility,Expanding Mean 12 pressure,Expanding Mean 12 cloudcover,Expanding Mean 12 heatIndexC,Expanding Mean 12 dewPointC,Expanding Mean 12 windChillC
statusN,0.34019819896531545,0.016935933202515494,-0.2361496409435909,0.0025939253967664764,0.09149743948067204,0.2274254477380639,0.0015573105623032859,-0.027776546641121586,0.0708173585104252,-0.2618167476729255,-0.13641734239153405,-0.23608134712052475,0.06720316896690598,-0.2618167476729255,0.903967101016349,0.0999405983669216,-0.3633477372104011,-0.1164664477312784,-0.025410660034908383,0.3082806447881372,0.043685294893008535,-0.038326470169116174,0.034846056119649936,-0.3701328221562396,-0.23497020576181635,-0.3635131661535987
statusS,0.03401674232825125,0.39679754066857625,-0.08052325814532993,0.02285506467586885,0.01801943762931815,0.07152671561883904,-0.024697983927742685,0.0076242705800731985,-0.01926432081937168,-0.08721176382376022,-0.03519262772254717,-0.08035247641495308,0.03644541012849314,-0.08721176382376022,0.10708119271067017,0.9242478416854482,-0.1038924331209628,0.006462833677642566,0.010494877754156707,0.0859277763984263,-0.022298486786993667,0.008389631999500883,-0.015205070920849209,-0.10289808984397134,-0.06067891036996297,-0.10372577376508588
tempC,-0.044653380247452884,-0.03211620404005959,0.5693263910123945,-0.35000218861444404,-0.40381351486990297,-0.590810360289912,0.36475862534975795,0.1044136957112144,-0.3261925515517416,0.583292383883011,0.17582123592152776,0.5691218075195159,-0.4815770678213999,0.583292383883011,-0.3361353734997489,-0.0950553487637996,0.9787029978867532,0.0012063350012458947,-0.08868506364248024,-0.9061514955567842,0.11088174065854553,0.013239993554626493,-0.2277495722101078,0.9618145468463316,0.3507039821963503,0.9786286702489392
windspeedMiles,-0.1160012021810174,0.01987872806169494,0.1895339224120938,0.7431763935541522,0.2704686486587485,-0.14930314748819665,-0.1464323255475468,-0.475444571487353,0.3552969710390578,0.21716039630012546,0.08765293534347753,0.19017095641778692,0.6577272153009512,0.21716039630012546,-0.13766794201485585,0.006623805445119243,0.10815961074197823,0.9848142650338652,0.4017591716578427,-0.06977046761494429,-0.3291667160808753,-0.4890460997069153,0.3622834334720887,0.1035745149359038,0.0022421136094377416,0.10916017882283036
precipMM,-0.11788447921632668,0.02050133633804133,0.1948851341916034,0.3556016364600374,0.73444065869371,-0.01938520496322985,-0.5587558440406973,-0.4524618720600669,0.547558031348613,0.2739202082640302,0.4538739669168871,0.1955388900565711,0.3595869244492445,0.2739202082640302,-0.060533183997690684,0.0157803108024822,0.013546782895993686,0.4200602221339674,0.985605895913666,0.1685813941254358,-0.8124936512401951,-0.4526489473134314,0.5847420316062503,0.08032831279037791,0.36403001757552256,0.014341093890184882
humidity,0.02016433992590724,0.02238400737687825,-0.5079901360397823,0.3643244412812317,0.5544921701152015,0.6396142946714503,-0.5087182742449713,-0.21309083498229364,0.3903114309177037,-0.475683671540434,0.07098423052291768,-0.5075347366808444,0.4887312239502716,-0.475683671540434,0.27934591004225084,0.0761078282601458,-0.8905622517287405,0.03445268797628604,0.26928605498049096,0.9833345757818112,-0.2740803768154433,-0.12079485105888,0.2945393617845985,-0.8344467800805879,-0.06079851396178052,-0.8902751039569324
visibility,0.10054489477025033,-0.0519714371689636,-0.12121181900901085,-0.29444562570102034,-0.6154994099012421,-0.02466868174505069,0.5579047713319037,0.32672102202544073,-0.4431461006172121,-0.19145376872319075,-0.3687973003400243,-0.1218252673001078,-0.3044140876633257,-0.19145376872319075,0.070605926733422,-0.031390351193986366,0.034142472126366265,-0.3453557555798536,-0.7866982456070124,-0.19474118838142204,0.9485202262454916,0.3369684187682176,-0.4630827133710473,-0.030054784717775708,-0.3096806581118485,0.033285342246401006
pressure,-0.06157746071569516,0.0005493805046338565,-0.0005464120817166675,-0.386182712929816,-0.3530008713432157,-0.0911884015184912,0.17304528646510153,0.9395947164666084,-0.4194715926184212,-0.05448702148921737,-0.2082441204751176,-0.0010823119543654145,-0.3544577862239395,-0.05448702148921737,-0.05427402647687285,0.00031631490849835336,-0.00287348775772342,-0.4734007329927384,-0.4372981096469142,-0.09637940220403793,0.3327556328742707,0.9951096591840556,-0.4409764361540692,-0.05753017913600347,-0.20561537687605327,-0.0035129143382635715
cloudcover,-0.0019680321727777745,-0.018730343107289583,-0.13172382979273256,0.2784078317358448,0.4997996955449096,0.20899172623528411,-0.3887340539077722,-0.4496884052688489,0.7959747608946421,-0.0610603295128082,0.1950594577924245,-0.13114475859993827,0.31053318068232155,-0.0610603295128082,0.021526162989911692,-0.013230943317639764,-0.1854337351485973,0.34773073765735385,0.5755758717205431,0.2566266924116365,-0.4481004347725955,-0.4450943080383459,0.9873765721743044,-0.12891002185913222,0.1137447612164352,-0.1845762618211276
heatIndexC,-0.021600914819185208,-0.02686946839373472,0.5019691414171442,-0.3660522480071276,-0.3429861191073293,-0.4926060757144,0.2995226444737437,0.06699400459970584,-0.2790215983837261,0.5432366034570797,0.27285029598446897,0.5018553741111986,-0.4897951660848661,0.5432366034570797,-0.3336648711263569,-0.09362266872483824,0.94610514636375,-0.013854446279677277,-0.028358000900428493,-0.8379219186212431,0.05298187361645895,-0.03624074180123442,-0.17556167766632724,0.9778962071323676,0.4945657390714134,0.9461621043076954
