0,Expanding Mean 8 statusN,Expanding Mean 8 statusS,Expanding Mean 8 tempC,Expanding Mean 8 windspeedMiles,Expanding Mean 8 precipMM,Expanding Mean 8 humidity,Expanding Mean 8 visibility,Expanding Mean 8 pressure,Expanding Mean 8 cloudcover,Expanding Mean 8 heatIndexC,Expanding Mean 8 dewPointC,Expanding Mean 8 windChillC
statusN_Rmean=4,0.8866521495843863,0.10721763190885618,-0.33826078704484946,-0.13311610555889336,-0.0619255964985186,0.2813615692386151,0.061955487156255526,-0.05727076427207811,0.015884177139172388,-0.3381539483735249,-0.2115859861737238,-0.3385038889137761
statusS_Rmean=4,0.10780558353713413,0.9315326109770752,-0.09600332621058363,0.006890555600400646,0.014584413815272009,0.0802344670916904,-0.02636736384329896,0.0035102864073720736,-0.017349117449592732,-0.09492870550357103,-0.054838823192765035,-0.09601210167336066
statusN_Rmean=8,0.6300469195864358,0.08610946020104822,-0.2433841882970766,-0.1405546520280161,-0.10106150437505868,0.19574999070983545,0.09090288424427774,-0.06524487821203327,-0.0002020683183574152,-0.23290855318570164,-0.13813505641813215,-0.24358435472226045
statusS_Rmean=8,0.0740387210685549,0.7025947802507562,-0.07364688162318776,0.0125164484359835,0.017741589891570285,0.06119933087414715,-0.04016780841767195,0.0008227632299504348,-0.02068928850120173,-0.07139302703734379,-0.039830354233273885,-0.07356401019514812
statusN_Rmean=12,0.4271736235204572,0.046124468371363116,-0.09306051236535606,-0.12481638446485492,-0.11914197723416865,0.06515867670189064,0.1046722461547496,-0.06341783177697127,-0.002437072529415965,-0.07413592997849534,-0.028792943142865082,-0.09312702776874636
statusS_Rmean=12,0.032568138110173124,0.4568784232561797,-0.041744236247208605,0.01923101553359635,0.022088569225773937,0.03218003685955538,-0.05282824686328707,-8.896672047364903e-05,-0.020273780296329192,-0.03751071297259685,-0.013636566229414093,-0.041555422938286436
statusN_Rmean=24,0.04416728824589045,-0.07145776752108354,0.3513944823586964,0.08164998975008186,0.010894884995251713,-0.3339631926437416,-0.0023247199953373324,-0.10954945225804452,0.055482393410016574,0.3740208944431125,0.17316393555686954,0.3517890310363636
statusS_Rmean=24,0.02245701396252749,0.11081476396961494,0.01023094317284519,0.06219646378936591,0.033720717633049395,-0.02522875169908036,-0.04876778293628425,-0.007508336119166271,0.019885691587826854,0.015802528809433922,-0.0003847643836549669,0.010678668130771129
statusN_Rmean=32,-0.07210023626874411,-0.08102346429702753,0.4047944166659805,0.2430790751428528,0.15845741897786247,-0.3715747329044198,-0.14234077146363294,-0.17657562426580367,0.09102021533852883,0.4210192458495049,0.1961657424053544,0.4052911195179885
statusS_Rmean=32,0.04738465693023562,0.05543068525681851,-0.007845875551550563,0.07791533573337961,0.040949039504283566,-0.006920454322657118,-0.04442353917827276,-0.007689363326979395,0.04169350811372125,-0.007471086199711822,-0.02350630104606476,-0.0072676408927850435
statusN_Rmean=48,0.008001654301274119,-0.06997382784025298,-0.06908901031111361,0.2012166683668322,0.19997398646417272,0.09189406996173566,-0.16980346981253333,-0.12983030965746506,0.07343295967854876,-0.08866074331732822,-0.03457858551681574,-0.06866479686147119
statusS_Rmean=48,0.07368323193380061,-0.024222642878254503,-0.0769423358898952,0.06402587432111928,0.0058660980954738755,0.06505416726714648,-0.025263726843877416,8.327462502719545e-05,0.0013541568452389125,-0.07365341703328784,-0.052237859643607935,-0.07628400448700555
statusN_Rmean=96,0.04544151014351884,-0.02174608606093548,0.016594798752874625,0.14224784364619086,0.08972271060534348,-0.015236712066662834,-0.05254534939541811,-0.19113803981358687,0.0309708869022074,0.010948732968077964,-0.013746921082975405,0.01711675322294524
statusS_Rmean=96,0.07040086230471733,-0.01745437101169711,-0.08272589325495297,0.0410394314151209,0.014568727936617462,0.08192151648528202,-0.00376320572781039,0.010607597770206593,0.01988319311392629,-0.08443819630697175,-0.05032975090116477,-0.08252935571112023
tempC_Rmean=2,-0.35817043521501485,-0.1009299397332586,0.9947778631326584,0.05839091799308936,-0.04031519155687115,-0.9122372513886848,0.07048249283702361,0.003158161672473317,-0.20944012445754312,0.971858442744748,0.3415146363862473,0.9947058957821158
windspeedMiles_Rmean=2,-0.12570631242034558,-0.0004008059352955053,0.06803886748992116,0.9913811994383116,0.41642087988265386,-0.0332648648674214,-0.3467441367187675,-0.4830183776850056,0.35826704619108474,0.05706490586946264,-0.031947871050097366,0.06878019209944901
precipMM_Rmean=2,-0.067131152384424,0.015430185264267643,-0.07618266647814348,0.4218438309670005,0.9657042057738644,0.2427019199983311,-0.7859931117019044,-0.3773060013932014,0.5751193053496635,-0.010934782785618036,0.31743984039297996,-0.07569764604212814
humidity_Rmean=2,0.2991003242812341,0.08195824758388773,-0.9111651408878606,-0.02244917471475097,0.2236781877307548,0.9974515252531574,-0.23445591145812536,-0.10711413840236733,0.2763993634852285,-0.8500598928257952,-0.05280828386477595,-0.9109983510333456
visibility_Rmean=2,-0.004191923506645104,0.0001409122547874796,-0.01931410775838548,-0.3149645054723359,-0.7415604413962197,-0.12974505344926696,0.8581922100528111,0.4224843910298977,-0.4178846690741615,-0.05757765863833887,-0.2315173953484821,-0.019857708693039603
pressure_Rmean=2,-0.04694794806102917,0.005679168283452255,0.005376496099001835,-0.4847729974861458,-0.4457560424100281,-0.1091936021284649,0.33754149262046546,0.9975104698400808,-0.44457653676787934,-0.046164107540876416,-0.20676809926263448,0.004943872403019549
cloudcover_Rmean=2,0.02235737518562444,-0.01739468903783023,-0.2063599736619741,0.35691914095619937,0.5826350868481551,0.2752886889053652,-0.4637048912707824,-0.4438616797915195,0.9980307630576796,-0.15212040474225286,0.10367140727068963,-0.2057403476393162
heatIndexC_Rmean=2,-0.3604819877169077,-0.0997806179469103,0.9688470456850494,0.04790132303325405,0.02265690166843915,-0.8489067329396135,0.009390747659950259,-0.04699894260175855,-0.15702104568390826,0.9960244917656688,0.4906488933438668,0.9689316673761059
dewPointC_Rmean=2,-0.22996814131260065,-0.06095197846672407,0.3418494671463095,-0.02492510650403591,0.34621350077428914,-0.05437145836569378,-0.2999113979545301,-0.2091935200927291,0.10323608073917076,0.4920397976235352,0.983478473793136,0.342191166570682
windChillC_Rmean=2,-0.3583341995847745,-0.10090351957248636,0.9947100772867642,0.05924635783408705,-0.03970193934536383,-0.9121219603356364,0.0698666528008552,0.0026618103882821644,-0.20873906900867267,0.9719119132980094,0.3417159656399132,0.9947720103595008
windGustMiles_Rmean=2,-0.08019291853355329,0.023465686328011603,-0.0863346874156826,0.9575935996064816,0.4912169205156915,0.12371976642350875,-0.4179949009466662,-0.4608505675173136,0.4145353878933378,-0.0936936549257633,-0.06463614064267946,-0.08566523897994298
