0,Expanding Mean 16 statusN,Expanding Mean 16 statusS,Expanding Mean 16 tempC,Expanding Mean 16 windspeedMiles,Expanding Mean 16 precipMM,Expanding Mean 16 humidity,Expanding Mean 16 visibility,Expanding Mean 16 pressure,Expanding Mean 16 cloudcover,Expanding Mean 16 heatIndexC,Expanding Mean 16 dewPointC,Expanding Mean 16 windChillC
statusN,0.8625738589891466,0.09642937930713072,-0.3542667945750457,-0.11168881847016354,-0.023321750722746462,0.302514193240541,0.03529604296917016,-0.03500540159935163,0.03719405765269897,-0.3630663250294788,-0.21948796847570984,-0.35433167472136123
statusS,0.11039689186348964,0.8934152306146291,-0.10187557103893947,0.006335209788216191,0.007874705184302961,0.08573897383030858,-0.015489093105176094,0.010316827457980113,-0.017910783885664895,-0.10291921172783314,-0.05762536633199222,-0.10176158931303736
tempC,-0.3345891894992504,-0.08594428275891572,0.9670158967804696,-0.02472622916641732,-0.10925027751467538,-0.8970566496061984,0.1302907842582497,0.019093549655711674,-0.2389121412703145,0.9552011329689089,0.33925593087174005,0.9669233464745416
windspeedMiles,-0.14629247332101622,0.0065356474982342545,0.1112123763509746,0.97622305170373,0.392626493841485,-0.07547592842250059,-0.33630164191440304,-0.4892614622148654,0.3660011134203793,0.10603436466721022,-0.004861126202307282,0.11224676505810713
precipMM,-0.06998839827434902,0.00931763270365342,0.02306931796578672,0.41904806840890174,0.9726280128457401,0.15651895134057442,-0.8112811025129107,-0.4517212534780548,0.5847776271097357,0.0901358475461367,0.3647160102903178,0.023863648205672185
humidity,0.2731820686796321,0.07018860372674174,-0.8793146334716891,0.05925147608317834,0.2917019668870873,0.9718283746736424,-0.29474661496588017,-0.12646549037215596,0.3053221575629109,-0.8255666931408296,-0.04740539982197803,-0.8790343887902651
visibility,0.07240663234150481,-0.024895434963762987,0.026888149509441284,-0.3448690947850227,-0.7810329723660348,-0.18375319878592347,0.946823665099626,0.3355308775299215,-0.4645186320803207,-0.034789073863262375,-0.30476577370343505,0.026084345071746225
pressure,-0.05486271032322648,0.005660098255630172,-0.0011994400226236677,-0.4704408112169702,-0.43934232457822703,-0.09825059249037564,0.3364101634730046,0.9931384954160899,-0.4424420467917542,-0.05423916900216424,-0.2048442800560304,-0.001915450947207455
cloudcover,0.006547274879190939,-0.0218689664597273,-0.18850207676554376,0.34630421427465463,0.5720140261419701,0.25683316955356944,-0.4639184299266603,-0.4442339836617088,0.9801280041323022,-0.134105286736625,0.12181366790276595,-0.1875843650888192
heatIndexC,-0.3294666185353827,-0.08361884544033647,0.932018471077038,-0.04087167060628506,-0.047944846030336725,-0.8265526372561279,0.07212850541179053,-0.02912330646509244,-0.18696143986862893,0.967285132012642,0.4845584496411183,0.9319989861834748
dewPointC,-0.2085372258637069,-0.0506586405464391,0.3169233574652596,-0.057244802989909416,0.3162775991451465,-0.04378746057054633,-0.2765595109777266,-0.2093552230812592,0.0922267894990052,0.4671376477975798,0.9571593974285756,0.3171848333594415
